Date,Open,High,Low,Close,Adj Close,Volume
2016-06-01,112.690002,121.410004,112.070000,121.300003,106.855759,167571400
2016-07-01,121.300003,126.070000,120.790001,125.230003,110.317757,131996000
2016-08-01,125.309998,125.900002,118.330002,119.339996,105.129128,138570700
2016-09-01,119.190002,119.970001,117.040001,118.129997,104.757431,130378400
2016-10-01,118.000000,120.199997,112.989998,115.989998,102.859680,140054500
2016-11-01,114.760002,122.500000,111.300003,111.300003,98.700600,171310900
2016-12-01,111.360001,117.300003,109.320000,115.209999,102.873978,138044800
2017-01-01,115.779999,117.000000,110.760002,113.250000,101.123863,143312500
2017-02-01,112.480003,122.879997,112.470001,122.209999,109.124481,133814500
2017-03-01,122.489998,129.000000,122.389999,124.550003,111.949829,166544900
2017-04-01,124.730003,125.809998,120.949997,123.470001,110.979073,106205200
2017-05-01,123.400002,128.800003,122.339996,128.250000,115.275520,112541500
2017-06-01,128.320007,137.000000,128.119995,132.289993,119.695328,145558900
2017-07-01,132.789993,137.080002,129.570007,132.720001,120.084389,107885800
2017-08-01,133.169998,134.970001,130.899994,132.369995,119.767700,107061100
2017-09-01,132.600006,135.789993,129.050003,130.009995,118.380661,116205400
2017-10-01,130.160004,144.350006,130.020004,139.410004,126.939850,123841100
2017-11-01,139.830002,141.869995,136.600006,139.330002,126.867012,93742200
2017-12-01,139.570007,143.800003,138.600006,139.720001,128.001190,114023200
2018-01-01,139.660004,148.320007,138.100006,138.190002,126.599541,170954200
2018-02-01,137.529999,140.669998,122.150002,129.880005,118.986526,177033700
2018-03-01,129.110001,135.699997,124.900002,128.149994,118.153397,151837800
2018-04-01,127.820000,132.880005,123.540001,126.489998,116.622879,144094200
2018-05-01,126.320000,127.610001,118.620003,119.620003,110.288788,139533300
2018-06-01,120.379997,124.849998,119.970001,121.339996,112.704353,138683200
2018-07-01,121.339996,132.639999,120.110001,132.520004,123.088692,145735900
2018-08-01,132.389999,137.429993,128.929993,134.690002,125.104248,123996800
2018-09-01,134.690002,143.130005,133.440002,138.169998,129.191833,122168800
2018-10-01,138.259995,141.429993,132.229996,139.990005,130.893600,167964600
2018-11-01,140.070007,148.750000,139.000000,146.899994,137.354538,152746600
2018-12-01,145.570007,148.990005,121.000000,129.050003,121.432854,289169400
2019-01-01,128.130005,135.190002,125.000000,133.080002,125.224991,174392900
2019-02-01,134.020004,137.949997,131.259995,136.639999,128.574844,119453700
2019-03-01,137.220001,140.000000,135.740005,139.789993,132.411301,137354500
2019-04-01,139.990005,141.449997,134.419998,141.199997,133.746872,124329800
2019-05-01,140.949997,142.350006,128.520004,131.149994,124.227379,159034100
2019-06-01,131.500000,144.979996,131.039993,139.279999,132.830963,150883000
2019-07-01,140.199997,142.470001,127.839996,130.220001,124.190453,159847900
2019-08-01,130.259995,134.100006,126.629997,128.360001,122.416573,176400700
2019-09-01,127.989998,132.779999,126.339996,129.380005,124.313942,122925900
2019-10-01,130.020004,137.490005,126.099998,132.039993,126.869774,206654300
2019-11-01,132.050003,138.630005,129.679993,137.490005,132.106400,127753600
2019-12-01,137.720001,147.839996,136.160004,145.869995,141.129303,127761600
2020-01-01,145.869995,151.190002,141.380005,148.869995,144.031799,150462900
2020-02-01,149.419998,154.500000,130.820007,134.479996,130.109482,147293500
2020-03-01,134.779999,143.639999,109.160004,131.130005,127.677345,355927400
2020-04-01,127.699997,157.000000,125.500000,150.039993,146.089432,234386100
2020-05-01,149.619995,153.619995,143.009995,148.750000,144.833420,136208900
2020-06-01,147.289993,150.029999,137.020004,140.630005,137.876404,174066600
2020-07-01,140.690002,151.669998,140.059998,145.759995,142.905945,137884200
2020-08-01,146.389999,154.399994,145.820007,153.410004,150.406158,109982700
2020-09-01,153.869995,155.470001,142.960007,148.880005,146.936356,138801300
2020-10-01,149.309998,153.139999,133.649994,137.110001,135.320007,137285300
2020-11-01,138.979996,151.300003,137.490005,144.679993,142.791168,153635100
2020-12-01,146.289993,157.660004,145.860001,157.380005,156.404709,158930200
2021-01-01,157.240005,173.649994,154.130005,163.130005,162.119080,184488700
2021-02-01,165.309998,167.940002,157.970001,158.460007,157.478012,147681200
2021-03-01,161.449997,167.029999,151.470001,164.350006,164.350006,175073000
2021-04-01,162.600006,167.789993,156.529999,162.729996,162.729996,162646600
2021-05-01,163.600006,165.320007,163.119995,165.210007,165.210007,6594100
