Date,Open,High,Low,Close,Adj Close,Volume
2016-06-01,70.500000,73.190002,70.150002,73.019997,65.826782,185919600
2016-07-01,73.129997,74.349998,72.419998,72.970001,65.781700,137723500
2016-08-01,72.809998,75.190002,70.889999,71.440002,64.402435,212460000
2016-09-01,71.570000,73.190002,70.300003,72.120003,65.460510,176983900
2016-10-01,71.830002,72.570000,67.070000,70.019997,63.554420,170716200
2016-11-01,69.980003,72.089996,68.120003,70.430000,63.926575,210370600
2016-12-01,70.250000,72.480003,68.830002,69.120003,62.737526,162527500
2017-01-01,69.239998,69.629997,65.279999,66.739998,61.010853,181828000
2017-02-01,66.459999,72.800003,66.040001,70.930000,64.841156,207967400
2017-03-01,70.970001,72.559998,69.330002,72.080002,65.892448,191103100
2017-04-01,72.080002,75.769997,71.379997,75.180000,69.231682,127527200
2017-05-01,75.089996,79.440002,74.959999,78.599998,72.381096,182345800
2017-06-01,78.639999,80.470001,73.290001,75.680000,70.158508,247520700
2017-07-01,75.839996,80.339996,73.129997,79.989998,74.154053,143448100
2017-08-01,80.250000,81.989998,77.500000,78.070000,72.374138,203652700
2017-09-01,78.309998,81.120003,77.730003,78.139999,72.894676,161153600
2017-10-01,77.900002,89.110001,77.500000,87.309998,81.449112,198775100
2017-11-01,87.070000,100.129997,87.000000,97.230003,90.703224,222703100
2017-12-01,97.610001,99.910004,96.139999,98.750000,92.121178,166774100
2018-01-01,99.300003,109.980003,98.519997,106.599998,99.968307,169694600
2018-02-01,105.959999,106.559998,90.000000,90.010002,84.410393,307532700
2018-03-01,90.169998,90.500000,85.279999,88.970001,83.435097,256003000
2018-04-01,88.000000,89.660004,84.839996,88.459999,83.451408,163581800
2018-05-01,87.669998,88.099998,81.779999,82.540001,77.866592,248483300
2018-06-01,83.040001,87.489998,82.370003,85.650002,81.309555,185619400
2018-07-01,85.650002,89.660004,83.400002,89.230003,84.708130,117596900
2018-08-01,88.860001,100.209999,87.620003,95.860001,91.002144,205659500
2018-09-01,95.800003,97.660004,93.690002,93.910004,89.668762,127212500
2018-10-01,94.290001,102.599998,92.889999,100.279999,95.751068,216421000
2018-11-01,99.959999,106.209999,93.309998,97.650002,93.239861,191936600
2018-12-01,98.019997,99.589996,85.779999,93.150002,88.943085,186311800
2019-01-01,91.639999,99.349998,91.639999,95.830002,92.001373,160739700
2019-02-01,95.919998,104.180000,93.110001,98.989998,95.035126,166799500
2019-03-01,99.470001,100.489998,95.000000,97.529999,93.633453,141147100
2019-04-01,97.970001,104.150002,96.790001,102.839996,99.262558,110606900
2019-05-01,102.769997,103.959999,98.849998,101.440002,97.911255,155764900
2019-06-01,101.629997,112.220001,101.400002,110.489998,107.212967,121525000
2019-07-01,111.300003,115.489998,109.629997,110.379997,107.106216,91286900
2019-08-01,110.320000,115.379997,104.839996,114.260002,110.871162,157874200
2019-09-01,113.680000,119.860001,113.489998,118.680000,115.726929,105362500
2019-10-01,118.849998,120.709999,114.580002,117.260002,114.342262,96407600
2019-11-01,117.919998,125.379997,117.080002,119.089996,116.126724,116620600
2019-12-01,119.150002,122.120003,117.419998,118.839996,115.882935,98422700
2020-01-01,118.860001,119.889999,112.680000,114.489998,112.141937,127907500
2020-02-01,114.900002,119.949997,104.370003,107.680000,105.471603,132466600
2020-03-01,107.599998,128.080002,102.000000,113.620003,111.289787,318954800
2020-04-01,112.150002,133.380005,111.800003,121.550003,119.583954,207165200
2020-05-01,121.480003,131.990005,120.779999,124.059998,122.053345,186950500
2020-06-01,123.440002,124.410004,117.010002,119.779999,118.360954,185852200
2020-07-01,119.449997,134.130005,118.220001,129.399994,127.866966,197456000
2020-08-01,129.910004,141.070007,128.270004,138.850006,137.205032,230024800
2020-09-01,141.199997,151.330002,134.750000,139.910004,138.820847,268766000
2020-10-01,140.800003,146.600006,137.369995,138.750000,137.669861,128998800
2020-11-01,140.589996,153.399994,139.029999,152.789993,151.600571,137933500
2020-12-01,153.600006,153.660004,142.300003,144.149994,143.027832,170378200
2021-01-01,144.300003,149.929993,140.350006,140.490005,139.905869,150162900
2021-02-01,140.910004,147.500000,129.860001,129.919998,129.379807,184999800
2021-03-01,131.580002,137.589996,126.279999,135.830002,135.265244,246548100
2021-04-01,135.940002,141.770004,135.330002,139.910004,139.910004,153120500
2021-05-01,139.679993,142.740005,139.679993,142.119995,142.119995,9036900
